local_queryID,time(ms),recall,mrr
0,2.333,0.4,0.0
1,1.753,0.4,0.0
2,2.108,0.6,0.0
3,1.347,0.8,0.0
4,1.485,0.6,0.0
5,1.538,0.4,0.0
6,1.716,0.8,0.0
7,1.578,0.6,0.0
8,1.756,1.0,0.0
9,1.121,0.4,0.0
10,0.847,0.8,0.0
11,0.851,0.6,0.0
12,0.753,0.8,0.0
13,0.712,0.2,0.0
14,0.85,0.6,0.0
15,0.893,0.4,0.0
16,0.817,0.4,0.0
17,0.777,0.6,0.0
18,0.82,0.2,0.0
19,0.82,0.4,0.0
20,0.76,0.4,0.0
21,0.93,0.4,0.0
22,0.773,0.8,0.0
23,0.851,0.4,0.0
24,0.788,0.6,0.0
25,0.825,0.6,0.0
26,0.853,0.4,0.0
27,0.974,0.4,0.0
28,0.843,0.2,0.0
29,0.771,0.2,0.0
30,0.77,0.8,0.0
31,0.622,0.6,0.0
32,0.807,0.8,1.0
33,0.659,0.8,1.0
34,0.66,0.6,1.0
35,0.667,0.6,1.0
36,0.751,0.8,1.0
37,0.734,0.8,1.0
38,0.702,0.4,0.0
39,0.635,0.8,1.0
40,0.74,0.4,1.0
41,0.7,0.8,0.0
42,0.714,0.6,0.0
43,0.703,0.6,0.0
44,0.641,0.6,0.0
45,0.728,0.6,0.0
46,0.73,0.6,1.0
47,0.701,0.6,0.0
48,0.701,0.4,0.0
49,0.652,1.0,1.0
50,0.672,0.6,1.0
51,0.758,0.8,0.0
52,0.697,1.0,0.0
53,0.706,0.4,1.0
54,0.736,0.6,0.0
55,0.739,0.6,0.0
56,0.693,1.0,1.0
57,0.651,1.0,0.0
58,0.605,0.6,1.0
59,0.711,0.8,0.0
60,0.597,0.8,0.0
61,0.669,0.8,1.0
62,0.728,0.2,0.0
63,0.703,0.6,0.0
64,0.723,0.6,1.0
65,0.73,0.4,1.0
66,0.722,0.6,1.0
67,0.706,0.4,1.0
68,0.642,0.8,0.0
69,0.738,0.6,0.0
70,0.617,0.4,0.0
71,0.658,0.8,0.0
72,0.68,0.4,0.0
73,0.62,0.2,0.0
74,0.663,0.6,0.0
75,0.577,0.8,1.0
76,0.604,0.8,1.0
77,0.809,1.0,0.0
78,1.057,0.8,0.0
79,0.579,0.8,0.0
80,0.624,0.8,0.0
81,0.676,0.8,0.0
82,0.652,1.0,0.0
83,0.646,0.4,0.0
84,0.698,0.6,1.0
85,0.676,0.6,0.0
86,1.333,0.4,0.0
87,0.702,0.8,0.0
88,0.724,0.6,0.0
89,0.705,0.8,0.0
90,0.704,0.8,0.0
91,0.727,0.6,1.0
92,0.757,0.4,0.0
93,0.719,0.6,0.0
94,0.734,0.6,1.0
95,0.754,0.6,0.0
96,0.748,0.8,0.0
97,0.813,0.4,0.0
98,0.66,0.8,1.0
99,1.227,0.8,1.0
