local_queryID,time(ms),recall,mrr
0,1.611,0.7,0.0
1,1.468,0.7,1.0
2,0.912,0.6,0.0
3,1.0,0.6,0.0
4,0.949,0.8,1.0
5,0.896,0.6,1.0
6,0.946,0.8,1.0
7,0.997,0.2,0.0
8,1.056,0.8,1.0
9,1.236,0.8,0.0
10,1.024,0.6,0.0
11,1.001,0.5,0.0
12,1.011,0.4,0.0
13,1.083,0.5,0.0
14,0.973,0.3,1.0
15,1.06,0.7,0.0
16,0.874,0.6,0.0
17,0.768,0.4,0.0
18,0.821,0.7,0.0
19,0.885,0.5,0.0
20,0.742,0.2,0.0
21,0.911,0.6,1.0
22,0.78,0.4,0.0
23,0.749,0.7,1.0
24,0.829,0.6,1.0
25,1.21,0.5,0.0
26,0.932,0.4,1.0
27,0.826,0.4,0.0
28,0.805,0.4,0.0
29,0.829,0.6,0.0
30,0.852,0.5,1.0
31,0.801,0.7,0.0
32,0.885,0.6,1.0
33,0.722,0.5,1.0
34,0.78,0.9,1.0
35,0.792,0.6,0.0
36,0.769,0.4,0.0
37,0.8,0.2,0.0
38,0.812,0.6,0.0
39,0.769,0.4,0.0
40,0.795,0.8,0.0
41,0.741,0.3,0.0
42,0.738,0.3,1.0
43,0.78,0.8,1.0
44,0.798,0.4,0.0
45,0.84,0.8,0.0
46,0.729,0.6,1.0
47,0.788,0.6,1.0
48,0.806,0.3,0.0
49,0.757,0.4,0.0
50,0.803,0.4,1.0
51,0.778,0.8,0.0
52,0.762,0.5,1.0
53,0.834,0.8,1.0
54,0.82,0.3,0.0
55,0.832,0.8,1.0
56,0.794,0.9,1.0
57,0.809,0.4,0.0
58,0.709,0.6,0.0
59,0.717,0.6,0.0
60,0.77,0.8,1.0
61,0.847,0.7,0.0
62,0.813,0.6,0.0
63,0.814,0.7,0.0
64,0.855,0.6,1.0
65,0.769,0.7,0.3333333333333333
66,1.412,0.4,1.0
67,1.012,0.5,0.0
68,1.147,0.6,1.0
69,1.434,0.4,0.0
70,1.451,0.6,0.0
71,1.814,0.3,0.0
72,1.69,0.9,0.0
73,1.448,0.6,0.0
74,1.019,0.5,0.0
75,0.942,0.5,1.0
76,0.994,0.6,0.0
77,0.841,0.5,0.0
78,0.833,0.6,1.0
79,0.883,0.5,1.0
80,0.883,0.7,1.0
81,0.887,0.5,0.0
82,0.879,0.3,0.0
83,0.902,0.4,0.0
84,0.813,0.7,1.0
85,0.929,0.5,1.0
86,0.92,0.7,1.0
87,0.862,0.4,1.0
88,0.787,0.8,1.0
89,0.801,0.3,0.0
90,0.813,0.5,0.0
91,1.032,0.4,1.0
92,1.221,0.4,0.0
93,0.839,0.4,0.0
94,0.925,0.8,1.0
95,1.003,0.8,1.0
96,0.946,0.5,0.0
97,0.875,0.5,0.0
98,0.691,0.7,0.0
99,0.725,0.4,1.0
