local_queryID,time(ms),recall,mrr
0,1.817,0.8,0.0
1,1.577,0.6,0.0
2,0.92,0.5,0.0
3,1.213,0.7,0.0
4,0.896,0.5,0.0
5,0.832,0.9,1.0
6,0.793,0.6,1.0
7,0.922,0.3,1.0
8,0.955,1.0,0.0
9,1.039,0.9,0.0
10,0.807,0.3,0.0
11,0.896,0.7,0.0
12,0.705,0.5,0.0
13,0.722,0.5,0.0
14,0.712,0.6,1.0
15,0.787,0.7,0.0
16,0.66,0.6,1.0
17,0.644,0.6,0.0
18,0.609,0.5,0.0
19,0.675,0.4,0.0
20,0.634,0.6,1.0
21,0.633,0.5,0.0
22,0.751,0.5,0.0
23,0.675,0.4,0.0
24,0.661,0.3,0.0
25,0.646,0.4,0.0
26,0.579,0.6,1.0
27,0.631,0.6,1.0
28,0.628,0.3,0.0
29,0.686,0.3,0.0
30,0.786,0.3,1.0
31,0.636,0.7,0.0
32,0.734,0.4,0.0
33,0.768,0.3,0.0
34,0.696,0.0,0.0
35,0.542,0.7,1.0
36,0.618,0.7,0.0
37,0.748,0.4,0.0
38,0.662,0.3,0.0
39,0.592,0.4,1.0
40,0.645,0.8,0.0
41,0.636,0.5,0.0
42,0.624,0.6,0.0
43,0.634,0.8,0.0
44,0.826,0.3,0.0
45,0.583,0.4,0.0
46,0.632,0.5,0.0
47,0.639,0.5,0.0
48,0.638,0.3,0.0
49,0.652,0.5,1.0
50,0.638,0.3,0.0
51,0.637,0.4,0.0
52,0.669,0.3,0.0
53,0.636,0.5,0.0
54,0.608,0.4,0.0
55,0.674,0.4,0.0
56,0.554,0.6,0.5
57,0.64,0.3,0.0
58,0.632,0.4,0.0
59,0.589,0.4,0.0
60,0.613,0.5,0.0
61,0.629,0.5,0.0
62,0.538,0.7,0.0
63,0.608,0.4,0.0
64,0.555,0.9,1.0
65,0.618,0.8,1.0
66,0.572,0.5,1.0
67,0.639,0.5,0.0
68,0.54,0.3,0.0
69,0.678,0.6,0.0
70,0.905,0.4,1.0
71,0.651,0.4,0.0
72,0.888,0.1,0.0
73,0.617,0.4,0.0
74,0.602,0.5,1.0
75,0.555,0.3,0.0
76,0.593,0.7,0.0
77,0.578,0.4,1.0
78,0.569,0.5,0.0
79,0.592,0.2,0.0
80,0.597,0.8,0.125
81,0.565,0.8,1.0
82,0.655,0.8,1.0
83,0.646,0.7,1.0
84,0.584,0.5,0.0
85,0.665,0.8,1.0
86,0.701,0.3,0.3333333333333333
87,0.614,0.5,0.0
88,0.561,0.5,0.0
89,0.576,0.3,0.0
90,0.613,0.4,0.0
91,0.512,0.3,1.0
92,0.534,0.4,0.0
93,0.529,0.7,0.0
94,0.548,0.6,1.0
95,0.563,0.6,1.0
96,0.535,0.5,0.0
97,0.582,0.6,0.0
98,0.537,0.3,0.0
99,0.572,0.6,0.0
