local_queryID,time(ms),recall,mrr
0,14.757,0.8,1.0
1,2.204,0.8,1.0
2,1.566,1.0,1.0
3,0.943,0.6,1.0
4,5.934,0.4,0.0
5,1.279,0.8,1.0
6,1.989,1.0,1.0
7,0.823,0.8,1.0
8,2.594,0.8,1.0
9,0.821,0.8,1.0
10,4.849,1.0,1.0
11,1.478,0.6,1.0
12,1.205,0.8,1.0
13,3.719,0.8,1.0
14,3.258,0.8,1.0
15,1.682,0.4,1.0
16,0.884,0.8,1.0
17,2.609,0.6,1.0
18,1.074,0.8,0.0
19,1.02,1.0,0.0
20,2.924,0.4,1.0
21,2.69,0.6,1.0
22,2.094,0.6,0.0
23,0.95,0.8,1.0
24,1.177,0.8,0.0
25,1.442,0.8,0.0
26,1.105,0.8,0.0
27,0.992,0.4,0.0
28,0.991,0.2,0.0
29,0.819,0.4,0.0
30,0.904,0.8,0.0
31,0.994,0.4,0.0
32,0.941,0.6,0.0
33,1.46,0.0,0.0
34,0.93,0.2,0.0
35,1.031,0.6,0.0
36,0.866,0.6,0.0
37,1.078,0.6,0.0
38,1.307,0.4,0.0
39,0.865,0.8,0.0
40,0.859,0.6,0.0
41,0.842,0.4,0.0
42,0.877,0.4,0.0
43,0.86,0.6,0.0
44,0.897,0.6,0.0
45,1.047,1.0,0.0
46,1.117,0.8,0.0
47,0.886,0.6,0.0
48,0.942,0.6,0.0
49,1.022,0.8,0.0
50,0.885,1.0,0.0
51,0.894,0.4,0.0
52,0.858,0.4,0.0
53,0.879,0.2,0.0
54,0.893,0.4,0.0
55,0.801,0.0,0.0
56,0.796,0.4,0.0
57,1.178,0.6,0.0
58,1.036,0.4,0.0
59,0.967,0.2,0.0
60,0.957,0.8,0.0
61,1.088,0.4,0.0
62,0.948,0.8,0.0
63,1.013,0.0,0.0
64,1.013,0.2,0.0
65,1.088,0.4,0.0
66,1.025,0.4,0.0
67,0.932,0.2,0.0
68,0.947,0.6,0.0
69,0.973,0.2,0.0
70,1.087,0.2,0.0
71,1.037,0.8,0.0
72,1.171,0.6,0.0
73,0.923,0.8,0.0
74,1.015,0.0,0.0
75,0.918,0.4,0.0
76,1.028,0.4,0.0
77,1.064,0.6,0.0
78,0.923,0.4,0.0
79,0.921,0.2,0.0
80,0.885,0.2,0.0
81,0.928,0.8,0.0
82,0.878,0.8,0.0
83,1.114,0.8,0.0
84,0.894,0.2,0.0
85,0.858,0.4,0.0
86,1.237,0.8,0.0
87,0.876,0.6,0.0
88,0.911,0.6,0.0
89,0.872,0.2,0.0
90,0.816,0.2,0.0
91,0.768,0.8,0.0
92,0.886,0.6,0.0
93,0.956,0.4,0.0
94,0.886,0.4,0.0
95,1.044,0.4,0.0
96,0.824,0.0,0.0
97,0.913,0.4,0.0
98,0.893,0.6,0.0
99,0.982,0.0,0.0
