local_queryID,time(ms),recall,mrr
0,51.305,0.0,0.0
1,2.744,1.0,0.0
2,2.489,0.0,0.0
3,2.087,0.0,0.0
4,22.174,1.0,0.0
5,1.406,1.0,0.0
6,1.798,0.0,0.0
7,1.894,1.0,0.0
8,0.943,1.0,0.0
9,1.454,0.0,0.0
10,1.005,1.0,0.0
11,15.135,0.0,0.0
12,1.167,1.0,0.0
13,1.012,1.0,0.0
14,0.959,1.0,0.0
15,1.97,1.0,0.0
16,0.906,1.0,0.0
17,0.842,1.0,1.0
18,1.055,1.0,1.0
19,1.046,1.0,1.0
20,1.268,0.0,0.0
21,0.894,1.0,1.0
22,1.216,1.0,1.0
23,1.057,1.0,1.0
24,1.035,1.0,1.0
25,0.917,1.0,1.0
26,21.424,1.0,1.0
27,1.046,1.0,1.0
28,1.02,1.0,1.0
29,1.01,1.0,1.0
30,1.037,1.0,1.0
31,0.974,1.0,1.0
32,1.128,1.0,1.0
33,1.007,0.0,0.0
34,0.907,1.0,1.0
35,1.202,1.0,1.0
36,1.016,1.0,1.0
37,1.284,1.0,1.0
38,0.991,0.0,0.0
39,1.112,1.0,1.0
40,1.228,1.0,1.0
41,1.342,1.0,1.0
42,1.129,1.0,1.0
43,7.038,0.0,0.0
44,0.885,1.0,0.0
45,1.182,0.0,0.0
46,0.867,1.0,0.0
47,15.461,1.0,0.0
48,0.848,0.0,0.0
49,0.89,0.0,0.0
50,0.911,0.0,0.0
51,0.992,1.0,0.0
52,0.872,0.0,0.0
53,0.776,1.0,0.0
54,0.837,0.0,0.0
55,1.125,0.0,0.0
56,0.876,0.0,0.0
57,0.939,0.0,0.0
58,0.808,1.0,0.0
59,0.807,0.0,0.0
60,0.804,1.0,0.0
61,0.933,0.0,0.0
62,0.908,0.0,0.0
63,0.88,1.0,0.0
64,0.91,0.0,0.0
65,34.018,0.0,0.0
66,1.124,1.0,0.0
67,1.013,1.0,0.0
68,0.979,0.0,0.0
69,1.112,0.0,0.0
70,15.855,0.0,0.0
71,1.127,1.0,0.0
72,0.89,0.0,0.0
73,0.948,0.0,0.0
74,0.902,0.0,0.0
75,0.921,1.0,0.0
76,0.988,0.0,0.0
77,0.872,0.0,0.0
78,0.932,0.0,0.0
79,1.107,1.0,0.0
80,1.012,1.0,0.0
81,46.664,0.0,0.0
82,0.971,0.0,0.0
83,1.134,1.0,0.0
84,1.311,0.0,0.0
85,0.993,1.0,0.0
86,0.963,1.0,0.0
87,0.877,1.0,0.0
88,0.927,1.0,0.0
89,0.944,1.0,0.0
90,1.299,1.0,0.0
91,13.973,0.0,0.0
92,1.673,1.0,0.0
93,1.836,1.0,0.0
94,1.728,1.0,0.0
95,0.98,1.0,0.0
96,20.9,1.0,0.0
97,0.855,1.0,0.0
98,0.781,0.0,0.0
99,0.769,1.0,0.0
