local_queryID,time(ms),recall,mrr
0,2.011,0.7,1.0
1,1.781,0.6,1.0
2,1.563,0.4,0.0
3,1.554,0.7,1.0
4,0.884,0.5,0.0
5,0.582,0.9,1.0
6,0.637,0.2,1.0
7,0.753,0.8,1.0
8,0.865,0.4,1.0
9,0.915,0.7,1.0
10,0.751,0.4,1.0
11,0.729,0.6,1.0
12,1.013,0.6,1.0
13,0.758,0.4,1.0
14,0.739,0.8,1.0
15,0.721,0.5,1.0
16,0.695,0.4,1.0
17,0.839,0.7,1.0
18,0.724,0.6,0.0
19,0.736,0.6,0.0
20,0.745,0.3,1.0
21,0.749,0.5,1.0
22,0.779,0.8,0.0
23,0.743,0.8,1.0
24,0.796,0.7,0.0
25,0.742,0.6,0.0
26,0.666,0.4,0.0
27,0.809,0.5,0.0
28,0.735,0.4,0.0
29,0.726,0.3,0.0
30,0.649,0.7,0.0
31,0.663,0.6,0.0
32,0.708,0.6,0.0
33,0.675,0.2,0.0
34,0.654,0.3,0.0
35,0.732,0.3,0.0
36,0.738,0.6,0.0
37,0.729,0.4,0.0
38,0.796,0.2,0.0
39,0.69,0.3,0.0
40,0.718,0.4,0.0
41,0.723,0.6,0.0
42,0.739,0.3,0.0
43,0.712,0.8,0.0
44,0.734,0.2,0.0
45,0.816,0.5,0.0
46,0.809,0.6,0.0
47,0.737,0.7,0.0
48,0.757,0.4,0.0
49,0.712,0.2,0.0
50,0.711,0.4,0.0
51,0.704,0.5,0.0
52,0.769,0.4,0.0
53,0.756,0.6,0.0
54,0.733,0.3,0.0
55,0.741,0.2,0.0
56,0.732,0.3,0.0
57,0.797,0.5,0.0
58,0.697,0.5,0.0
59,0.739,0.4,0.0
60,0.67,0.4,0.0
61,0.741,0.2,0.0
62,0.744,0.6,0.0
63,0.702,0.4,0.0
64,0.743,0.2,0.0
65,0.762,0.4,0.0
66,0.761,0.2,0.0
67,0.84,0.3,0.0
68,0.665,0.6,0.0
69,0.696,0.5,0.0
70,0.715,0.2,0.0
71,0.745,0.5,0.0
72,0.82,0.3,0.0
73,0.62,0.5,0.0
74,0.702,0.4,0.0
75,0.692,0.4,0.0
76,0.714,0.8,0.0
77,0.627,0.0,0.0
78,0.728,0.2,0.0
79,0.678,0.4,0.0
80,0.677,0.3,0.0
81,0.689,0.6,0.0
82,0.645,0.9,0.0
83,0.669,0.8,0.0
84,0.698,0.3,0.0
85,0.652,0.6,0.0
86,0.76,0.4,0.0
87,0.624,0.5,0.0
88,0.723,0.2,0.0
89,0.942,0.3,0.0
90,0.758,0.3,0.0
91,0.699,0.3,0.0
92,0.731,0.6,0.0
93,0.757,0.7,0.0
94,0.764,0.5,0.0
95,0.802,0.6,0.0
96,0.655,0.2,0.0
97,0.705,0.5,0.0
98,0.702,0.4,0.0
99,0.71,0.1,0.0
